0	Q: When are rehearsals? A: Football season: Mondays and Thursdays from 5:30 p.m.-7:30 p.m. and Game Day 9:30-11:00a.m. Concert Season: Mondays and Thursdays from 5:30-6:30 p.m. Location is the CUC Studio Theater.  Q: When are performances? A: The Kiltie Band performs at all home football games, a holiday concert, and two spring concerts. Times and dates for all performances are announced at the first practice.  Q: Are there auditions? A: No, any member of the campus community with music experience is able to join the Kiltie Band!  Q: Do I have to memorize music? A: No, the music is changed for every show. You should invest in a good and trusty lyre.  Q: When is the first rehearsal? A: On the first day of class (Monday) at 5:30 p.m. in the CUC Studio Theater. If you have questions, please email the Direcator at jolisar@andrew.cmu.edu.  Q: Can I borrow a school instrument? A: There are several Kiltie-owned instruments available for your use. Loans begin at 4:30 p.m. before the first rehearsal.  Q: What do they wear under those kilts? A: Join and you’ll find out! 
1	412-268-7676 (Alexander Waibel)
2	No, the music is changed for every show. You should invest in a good and trusty lyre.
3	Wiegand Gymnasium.
4	CMU's approach evolved from pioneering the first computer science courses and interdisciplinary Ph.D. programs to establishing a leading School of Computer Science with a broad interdisciplinary focus, incorporating advances in AI, robotics, and human-computer interaction among others.
5	It played a pivotal role by developing C.mmp and Cm*, early multiprocessor systems that were forerunners to today’s multi-core computing architectures.
6	The graphic mascot is uniquely adorned with a plaid scarf around its neck.
7	Interdisciplinary research, bringing together various scientific disciplines, is the hallmark of Carnegie Mellon research.
8	The first IBM computer arrived on campus in 1956.
9	The schools offered two- and three-year certificates in the arts and in engineering disciplines.
