0	Carnegie Tech - Post-war Years   With the end of World War II, the latter half of the 20th century brought unprecedented growth to Carnegie Tech. In 1956, the arrival of the first IBM computer to campus was revolutionary, initiating a university culture where information technology pervaded virtually all areas of study. University culture also changed in 1973 when Margaret Morrison closed and women joined their male peers in classrooms and dorms. The times were changing, and Tech positioned itself at the forefront, opening three new schools:  1948: The Graduate School of Industrial Administration, later renamed the David A. Tepper School of Business, focusing on quantitative analysis and pioneering the field of management science. 1968: School of Urban and Public Affairs, later renamed the H. John Heinz III College, providing graduate training for work in the public sector. 1986: School of Computer Science, pioneering computing and artificial intelligence, led by interdisciplinary efforts of Allen Newell and Herbert Simon. 
1	Carnegie Mellon University officially adopted the Scottish terrier as its mascot in 2007.
2	University of Texas at Austin (UT).
3	Tartans.
4	Carnegie Tech – Early Years   Soon faced with the demand for baccalaureate programs, Carnegie Technical Schools began offering bachelor's degrees through its College of Engineering and College of Fine Arts, becoming the Carnegie Institute of Technology, or "Carnegie Tech." During the first half of the 20th century, with support from Andrew Carnegie and other funders, Carnegie Tech laid the foundation for a school on the cutting edge. Some key developments were:  It expanded from two buildings into an elegant 20th century campus designed in the beaux arts architectural style, housing a wealth of machine shops, studios and laboratories — the hands-on center of learning that persists today. It pioneered conservatory degree programs in music and drama, in addition to visual art and design programs. The first U.S. drama degree was awarded in 1914 at Carnegie Tech. It began offering graduate degrees. In 1919, the first doctorate (in civil engineering) was awarded to Mao Yisheng, a student from China. It laid the groundwork for a research institution, recruiting leading scientists, offering sponsored fellowships with government and industry leaders and pioneering nontraditional interdisciplinary research, which brought together physicists, chemists and metallurgists, for example. Interdisciplinary research would become the hallmark of Carnegie Mellon research. It initiated the 'Carnegie Plan' in 1938, a new curriculum that required science and engineer students to take courses in humanities and social sciences in order to better understand the needs of society. Carnegie died in 1919, but his vision for an educated public lived on after him. 
5	The arrangement of colored threads in a tartan is identical in both the warp and the weft, ensuring that each stripe of the warp crosses every stripe of the weft at equal intervals.
6	Carnegie Mellon University has been a birthplace  of innovation since its founding in 1900. Today, CMU is a global leader bringing groundbreaking  ideas to market and creating successful startup  businesses. Our award-winning faculty are renowned for  working closely with students to solve major scientific,  technological and societal challenges. We put a strong  emphasis on creating things — from art to robots. We  have become a model for economic development in  forming partnerships with companies such as Uber,  Google and Disney. Our students are recruited by some  of the world’s most innovative companies. MANAGEMENT  INFORMATION  SYSTEMS U.S. News & World Report, 2022#1 ARTIFICIAL  INTELLIGENCE U.S. News & World Report, 2022#1 AMONG U.S.   UNIVERSITIES Times Higher Education   World University  Ranking, 2023#19SOFTWARE  ENGINEERING U.S. News & World Report, 2022COLLEGE OF  ENGINEERING U.S. News & World Report, 2022#1 #4#1SCHOOL OF  COMPUTER  SCIENCE U.S. News & World Report, 2022 UNIVERSITY   IN THE WORLD Times Higher Education   World University   Ranking, 2023#28TIME-BASED/   NEW MEDIA U.S. News & World Report, 2019#11,529   FACULTY16,779   STUDENTSGraduate Undergraduate 117,257  ALUMNI (LIVING) 85%  U.S. 15%  International35%  U.S. 65%  International 76%  U.S. 24%  InternationalGLOBAL COMMUNITY Students representing 126 countries Faculty representing 56 countries Alumni representing  148 countries OF COMPUTER  SCIENCE’S FIRST- YEAR STUDENTS   WERE WOMEN   IN 2019 Nearly triple the   national average“ My Heart is in the Work. ”    Andrew Carnegie, Founder    November 15, 1900 49.8 % 87%  U.S. 13%  InternationalSCHOOLS AND COLLEGES College of Engineering  College of Fine Arts Dietrich College of Humanities   and Social Sciences Heinz College of Information Systems  and Public Policy Mellon College of Science School of Computer Science Tepper School of Business cmu.edu/assets/pdfs/cmu-fact-sheet.pdf    |   cmu.edu/about/awards.htmlMarch 2020BIG IDEAS THAT SHAPE YOUR WORLD START HERE 1,000+ companies greenlighted  across the U.S. and internationally  Cognitive tutors,  which improve  the math skills of 500,000+  students each year  The first U.S. school to award   a degree in drama  in 1914 James Gosling (SCS 1983)  invented the Java computer  programming language . The first exclusive higher  education partner of the Tony  Awards® , co-creating the first,  national recognition program  honoring K-12 theatre educators The first smile in an email , created  in 1982 by professor Scott Fahlman Kevlar Fiber , invented by alumna  Stephanie Kwolek (MM 1946) The Last Lecture , written   by alumni Randy Pausch (SCS 1988)   and Jeffrey Zaslow (DC 1980) In 1919, CMU’s first Ph.D.  was  awarded to Mao Yisheng, father   of Chinese bridge construction.  Duolingo , invented by professor   Luis von Ahn (CS 2003, 2005), had   10 million downloads in 12 months  and was named Apple’s 2013 app   of the year. :-) LEADERSHIP Farnam Jahanian    President David Coulter   Chair, Board of Trustees James H. Garrett Jr.   Provost2 National Academy of Engineering       3 National Academy of Sciences        4 National Academy of Medicine  Won by alumni and current/former faculty The leading university center  for cybersecurity , providing  support to more than 110  centers around the world  The world’s first university  robotics department ,   founded in 1979 Alumnus Andy Warhol    (CFA1949), pop artist pioneer   and cultural icon One of only 29 universities   invited to be a member of the  World Economic Forum’s  Global University   Leaders Forum CMU.EDU ECONOMIC IMPACT • Attracting major companies  —   including Google, Intel, Uber and GE —   to locate operations and create new   jobs in Pittsburgh • To date, the CMU community has  launched more than 400 startups   and created more than 152 spinoff  companies . • Contributing to the cultural and civic life of   the city with performances , exhibitions   and research collaborations 13 ACADEMY   AWARDS65 MEMBERS   OF NAE2 146 EMMY   AWARDS20 MEMBERS   OF NAS3 6 MEMBERS   OF NAM4 13 TURING   AWARDS 20 NOBEL   LAUREATES 58 TONY   AWARDS May 2023
7	Interested in Joining?  Please email the following information to Kiltie Band Director Jeremy Olisar.  Name High School Address at Carnegie Mellon (if known) Home address Cell number Home number Whether you plan on being in the band or colorguard If in the band what instrument(s) you play Whether you need to borrow an instrument or equipment    To see and hear the band in action, visit our YouTube channel
8	1900.
9	The Kiltie Band  The Kiltie Band began in 1908 with a group of just seven students dedicated to supporting Carnegie Tech football, and today's Kiltie Band continues a tradition of excellence originated over a century ago. The Band took the field for its first official performance on November 25th, 1922, on what would have been Andrew Carnegie's 87th birthday.  The Kiltie Marching Band consists of musicians and colorguard and plays at all Carnegie Mellon home football games. There is a new show every week with music ranging from traditional marches and oldies to current pop tunes and jazz standards.  After football season, the Kiltie Concert Band plays a holiday concert and two spring concerts, including a performance at Carnegie Mellon’s Spring Carnival. Additionally, a part of the band gets together and acts as a pep band for the basketball teams.  The Kiltie Band is a campus organization recognized by Student Senate and administered by the Department of Athletics, Physical Education and Recreation. Membership is open to all members of the campus/community without audition. Participants must do their best to promote the success of the ensemble through attendance, attitude, and dependability.
